name,elo,hard,clay,grass
Aaron Gil Garcia,1483.096,1500.0,1483.282,1500.0
Abdulaziz Usmonjonov,1484.0,1484.0,1500.0,1500.0
Abdulmajeed Bukhari,1484.0,1484.0,1500.0,1500.0
Abdulmalek Burasais,1484.0,1484.0,1500.0,1500.0
Abedallah Shelbayh,1505.747,1542.713,1477.053,1500.0
Abel Forger,1484.0,1484.0,1500.0,1500.0
Abhinav Sanjeev Shanmugam,1484.0,1484.0,1500.0,1500.0
Abraham Asaba,1484.0,1484.0,1500.0,1500.0
Adam Jones,1484.0,1484.0,1500.0,1500.0
Adam Moundir,1463.128,1458.699,1479.598,1500.0
Adam Neff,1484.0,1484.0,1500.0,1500.0
Adam Walton,1581.411,1600.604,1503.055,1500.0
Adolfo Daniel Vallejo,1534.442,1500.0,1542.433,1500.0
Adrian Andreev,1521.745,1491.049,1547.143,1500.0
Adrian Mannarino,1470.162,1433.964,1493.408,1530.302
Adrian Oetzbach,1484.0,1484.0,1500.0,1500.0
Adrian Soriano Barrera,1484.0,1484.0,1500.0,1500.0
Aidan Mayo,1491.204,1505.751,1475.961,1500.0
Ajeet Rai,1484.0,1484.0,1500.0,1500.0
Akira Santillan,1484.0,1484.0,1500.0,1500.0
Alejandro Davidovich Fokina,1570.552,1584.281,1535.995,1537.876
Alejandro Tabilo,1539.537,1475.333,1600.189,1500.0
Aleksandar Kovacevic,1546.778,1572.833,1491.645,1511.293
Aleksandar Vukic,1532.515,1548.265,1492.109,1536.436
Alex Michelsen,1594.195,1616.406,1515.712,1548.868
Alex Molcan,1489.329,1465.65,1525.373,1500.0
Alex Rybakov,1484.0,1484.0,1500.0,1500.0
Alexandru Cristian Dumitru,1484.0,1484.0,1500.0,1500.0
Alexander Blockx,1536.938,1566.77,1496.0,1500.0
Alexander Bublik,1593.045,1593.446,1574.962,1594.557
Alexander Shevchenko,1501.573,1518.958,1474.182,1500.0
Alexander Weis,1484.0,1484.0,1500.0,1500.0
Alexander Zverev,1667.063,1651.696,1705.844,1664.001
Alexandre Muller,1540.225,1515.098,1587.587,1500.0
Alexandre Reco,1484.0,1484.0,1500.0,1500.0
Alexey Vatutin,1484.0,1484.0,1500.0,1500.0
Alibek Kachmazov,1508.006,1524.415,1480.243,1500.0
Aliaksandr Bulitski,1484.0,1484.0,1500.0,1500.0
Altug Celikbilek,1484.0,1484.0,1500.0,1500.0
Alvaro Guillen Meza,1496.662,1500.0,1496.662,1500.0
Amir Omarkhanov,1484.0,1484.0,1500.0,1500.0
Andrea Collarini,1492.134,1500.0,1490.294,1500.0
Andrea Pellegrino,1492.476,1500.0,1490.34,1500.0
Andrea Picchione,1484.0,1484.0,1500.0,1500.0
Andrey Rublev,1614.64,1622.203,1609.256,1589.119
Andy Murray,1491.173,1497.462,1500.0,1489.527
